iter	RMSE
0	11935.423
1	11856.49016
2	11772.48472
3	11686.14512
4	11600.75714
5	11531.94439
6	11451.3896
7	11363.76003
8	11277.70699
9	11194.02712
10	11109.18975
11	11035.89973
12	10956.79313
13	10876.67299
14	10802.93985
15	10726.02831
16	10655.68902
17	10580.58897
18	10504.53155
19	10434.92566
20	10359.35726
21	10285.93181
22	10220.79027
23	10145.68867
24	10074.28479
25	10001.41587
26	9930.769084
27	9864.551166
28	9792.126971
29	9733.935671
30	9663.597882
31	9597.743216
32	9532.838479
33	9467.861911
34	9402.664467
35	9338.215061
36	9275.345266
37	9216.587526
38	9154.197883
39	9100.565171
40	9038.263494
41	8977.149361
42	8922.894782
43	8864.530689
44	8804.555457
45	8753.340104
46	8711.201275
47	8660.369141
48	8607.270113
49	8553.370945
50	8501.247552
51	8445.006268
52	8392.979378
53	8342.35515
54	8294.640969
55	8247.884377
56	8200.688513
57	8150.321931
58	8101.082858
59	8053.132391
60	8008.389554
61	7962.036964
62	7912.641814
63	7867.817798
64	7825.421857
65	7781.527711
66	7735.979921
67	7692.588747
68	7648.417976
69	7604.860438
70	7563.692506
71	7522.000567
72	7480.140542
73	7438.701144
74	7400.183427
75	7363.070157
76	7328.17981
77	7293.929518
78	7255.012102
79	7215.70066
80	7176.258789
81	7138.32918
82	7106.251164
83	7071.343685
84	7035.300114
85	7001.09763
86	6969.454813
87	6933.849118
88	6900.33824
89	6869.294585
90	6834.419931
91	6800.715721
92	6768.82456
93	6736.038558
94	6704.257334
95	6671.222258
96	6643.006403
97	6612.0112
98	6581.888106
99	6552.92999
100	6523.679487
101	6495.187784
102	6465.816116
103	6436.393474
104	6408.766309
105	6380.318102
106	6352.706961
107	6325.980805
108	6298.720007
109	6271.948463
110	6249.530736
111	6222.026558
112	6196.934192
113	6173.055858
114	6152.826149
115	6132.895096
116	6108.799152
117	6087.686825
118	6063.163046
119	6040.638535
120	6017.606145
121	5997.073271
122	5977.406065
123	5955.508055
124	5932.436146
125	5910.274073
126	5889.687334
127	5869.341268
128	5849.292195
129	5828.442753
130	5808.96978
131	5789.467885
132	5773.257575
133	5753.400815
134	5737.612952
135	5718.497225
136	5700.971767
137	5684.644215
138	5666.432189
139	5649.645117
140	5635.000958
141	5617.241606
142	5600.474967
143	5582.980553
144	5566.919795
145	5550.636815
146	5534.991202
147	5518.04527
148	5501.83395
149	5489.111447
150	5472.941821
151	5458.275166
152	5442.692144
153	5428.792202
154	5415.509879
155	5401.021341
156	5385.973064
157	5377.418046
158	5363.488065
159	5349.998569
160	5335.965523
161	5324.064752
162	5316.181708
163	5301.925831
164	5289.022917
165	5275.92856
166	5263.44537
167	5252.456977
168	5240.624656
169	5229.337275
170	5216.600857
171	5205.761086
172	5195.772844
173	5184.564103
174	5172.728282
175	5160.684271
176	5150.034329
177	5139.107294
178	5129.343424
179	5120.186974
180	5111.524343
181	5103.118944
182	5092.220066
183	5083.756654
184	5075.378732
185	5066.831781
186	5057.784139
187	5047.585912
188	5038.144758
189	5029.622108
190	5019.884909
191	5012.969439
192	5004.411337
193	4995.55878
194	4985.85849
195	4976.84833
196	4970.797137
197	4962.826718
198	4954.888412
199	4947.359592
200	4939.987864
201	4932.599291
202	4925.227214
203	4919.627954
204	4911.039651
205	4902.444367
206	4895.603591
207	4890.598349
208	4884.25108
209	4877.231268
210	4871.172585
211	4863.533945
212	4858.846287
