iter	RMSE
213	4852.4345
214	4846.807343
215	4841.139177
216	4834.12465
217	4828.627727
218	4822.397112
219	4816.888338
220	4811.280313
221	4805.880296
222	4801.257748
223	4795.996754
224	4790.572236
225	4784.515458
226	4778.516482
227	4774.25642
228	4769.541446
229	4764.76963
230	4759.048399
231	4754.772263
232	4749.909802
233	4745.237546
234	4740.778342
235	4735.27778
236	4731.239329
237	4725.416845
238	4721.142206
239	4716.45858
240	4712.741678
241	4708.063478
242	4703.739632
243	4699.350448
244	4694.538925
245	4690.62928
246	4687.409909
247	4683.6454
248	4679.920784
249	4675.973188
250	4672.096451
251	4667.290199
252	4663.547512
253	4659.389635
254	4655.164413
255	4650.616099
256	4647.859398
257	4644.489052
258	4641.583866
259	4637.919336
260	4633.516501
261	4630.38147
262	4627.09437
263	4624.34425
264	4621.901079
265	4618.34953
266	4614.913286
267	4612.56205
268	4609.33125
269	4606.467715
270	4602.924625
271	4599.718175
272	4596.834232
273	4594.31237
274	4591.464757
275	4587.823188
276	4583.579053
277	4580.532242
278	4577.906382
279	4575.031794
280	4572.072768
281	4569.859651
282	4567.597342
283	4564.628973
284	4562.185787
285	4559.847626
286	4556.804753
287	4554.126815
288	4551.593992
289	4547.867182
290	4545.616698
291	4543.098136
292	4539.975495
293	4537.414244
294	4535.241533
295	4533.639446
296	4531.623007
297	4529.56556
298	4527.550607
299	4525.660056
300	4523.259668
301	4521.085297
302	4518.746044
303	4516.424024
304	4514.440846
305	4512.702495
306	4511.052812
307	4509.694318
308	4507.970713
309	4505.980408
310	4503.838207
311	4502.619736
312	4500.904992
313	4499.012284
314	4497.418859
315	4495.251597
316	4494.250437
317	4492.765105
318	4491.719364
319	4490.217367
320	4488.730831
321	4485.762934
322	4483.914501
323	4481.787598
324	4479.609248
325	4477.648998
326	4475.436091
327	4473.724769
328	4472.113158
329	4470.220975
330	4468.624279
331	4466.935885
332	4465.571743
333	4463.85297
334	4462.379732
335	4460.950702
336	4459.449347
337	4457.825849
338	4455.815966
339	4454.601496
340	4452.971983
341	4450.546684
342	4449.858428
343	4448.440983
344	4447.045958
345	4445.532072
346	4444.292594
347	4442.598888
348	4441.13339
349	4439.827401
350	4438.610434
351	4437.673553
352	4436.176078
353	4434.776093
354	4433.423819
355	4432.326561
356	4430.951185
357	4430.165178
358	4429.049104
359	4427.761277
360	4426.315959
361	4425.429516
362	4423.839668
363	4423.224601
364	4422.050134
365	4420.678865
366	4419.911541
367	4418.096996
368	4416.720544
369	4415.877668
370	4414.964319
371	4413.922779
372	4412.824605
373	4411.985052
374	4410.713864
375	4409.787963
376	4408.504129
377	4407.177379
378	4406.483728
379	4405.110903
380	4404.097444
381	4402.765625
382	4401.62922
383	4400.811388
384	4400.089565
385	4399.026763
386	4397.924228
387	4397.223085
388	4396.089858
389	4394.986299
390	4394.157783
391	4392.823207
392	4391.735252
393	4390.784648
394	4389.887622
395	4389.213968
396	4387.507499
397	4386.50081
398	4385.394233
399	4384.46633
400	4383.311197
401	4382.682169
402	4381.539371
403	4380.811309
404	4379.758444
405	4379.061546
406	4377.939968
407	4377.140589
408	4376.197783
409	4375.444089
410	4374.378619
411	4373.502576
412	4372.611392
413	4371.330896
414	4370.150776
415	4369.461513
416	4368.339167
417	4367.475811
418	4366.907503
419	4366.212924
420	4365.152415
421	4364.647257
422	4363.883578
423	4363.417737
424	4362.374739
425	4361.510071
426	4360.481793
427	4359.665422
428	4358.841228
429	4357.801223
430	4357.032175
431	4356.273046
432	4354.99988
433	4354.235194
434	4353.511481
435	4352.626161
436	4351.830306
437	4351.192103
438	4350.576341
439	4349.832814
440	4349.459809
441	4348.388677
442	4347.620324
443	4347.227107
444	4346.362802
445	4345.270604
446	4344.797016
447	4343.942588
448	4342.672159
449	4342.27038
450	4341.414325
451	4340.519319
452	4339.147776
453	4338.42435
454	4337.843196
455	4337.172892
456	4336.312313
457	4335.581971
458	4334.904769
459	4334.288208
460	4333.303028
461	4332.640529
462	4331.86281
463	4331.369544
464	4329.944021
465	4329.228545
466	4328.446968
467	4327.718333
468	4327.221197
469	4326.771972
470	4326.213914
471	4325.69998
472	4324.623456
473	4323.888875
474	4323.425259
475	4322.870645
476	4322.406476
477	4321.89047
478	4321.080537
479	4320.038314
480	4319.266555
481	4318.474164
482	4317.889852
483	4317.007444
484	4316.253995
485	4315.575979
486	4314.843857
487	4314.218613
488	4313.539763
489	4313.003249
490	4312.105299
491	4311.65614
492	4311.069807
493	4310.29785
494	4309.626727
495	4309.053123
496	4308.027802
497	4307.68433
498	4306.898867
499	4306.140834
500	4305.760098
501	4304.81107
502	4304.095278
503	4303.634348
504	4303.250977
505	4302.853672
506	4302.231173
507	4301.474633
508	4300.895455
509	4300.393516
510	4299.689602
511	4299.347749
512	4298.703365
513	4298.157627
514	4297.66728
515	4297.216844
516	4296.626814
517	4296.139476
518	4295.785984
519	4295.152429
520	4294.421381
521	4293.867656
522	4293.317188
523	4292.860155
524	4292.446059
525	4291.908943
526	4291.516188
527	4291.113443
528	4290.665238
529	4289.971161
530	4289.350328
531	4288.268274
532	4287.617554
533	4287.288286
534	4287.022501
535	4286.434884
536	4285.454886
537	4284.956064
538	4284.494321
539	4283.693959
540	4283.101903
541	4282.74154
542	4281.726442
543	4281.254067
544	4280.914139
545	4280.409598
546	4280.060789
547	4279.732446
548	4279.295018
549	4278.970055
550	4278.531915
551	4278.038164
552	4277.014012
553	4276.299268
554	4275.763793
555	4275.039691
556	4274.762934
557	4274.028953
558	4273.480977
559	4272.961117
560	4272.660291
561	4272.233433
562	4271.822412
563	4271.386488
564	4271.141357
565	4270.89753
566	4270.429901
567	4270.012055
568	4269.105849
569	4268.723113
570	4268.318653
571	4267.606711
572	4266.951275
573	4266.168175
574	4265.489336
575	4264.715151
576	4263.993267
577	4263.702296
578	4263.239424
579	4262.608057
580	4262.317212
581	4262.285972
582	4261.919572
583	4261.505353
584	4261.075286
585	4260.146733
586	4259.924537
587	4259.705275
588	4259.287513
589	4258.537559
590	4258.08926
591	4256.925706
592	4256.578541
593	4255.821834
594	4255.227003
595	4254.910054
596	4254.474555
597	4253.638183
598	4252.906081
599	4252.378868
600	4252.20915
601	4251.591249
602	4250.886278
603	4250.234891
604	4249.66594
605	4249.234205
606	4248.91961
607	4248.464335
608	4248.111878
609	4247.694276
610	4247.346972
611	4246.595841
612	4246.127116
613	4245.376883
614	4244.637387
615	4244.393463
616	4243.903115
617	4243.463959
618	4242.811272
619	4242.415038
620	4241.766163
621	4241.379801
622	4241.137446
623	4240.754183
624	4239.946174
625	4239.586015
626	4239.051838
627	4238.816481
628	4238.427438
629	4238.124512
630	4237.825741
631	4237.366038
632	4237.013945
633	4236.798714
634	4236.353241
635	4235.475749
636	4235.063194
637	4234.702403
638	4234.36884
639	4234.006708
640	4233.661689
641	4233.353788
642	4233.048849
643	4232.499034
644	4231.555843
645	4231.17851
646	4230.508162
647	4230.14533
648	4229.329192
649	4229.103166
650	4228.625279
651	4227.89767
652	4227.512993
653	4226.793497
654	4226.430225
655	4226.137762
656	4225.432211
657	4224.612976
658	4224.562894
659	4224.122411
660	4223.418723
661	4223.146445
662	4222.742513
663	4222.230472
664	4221.318965
665	4221.065181
666	4220.664624
667	4220.286162
668	4219.972715
669	4218.974616
670	4218.551155
671	4218.177464
672	4217.964402
673	4217.381643
674	4216.984552
675	4216.752369
676	4216.331484
677	4215.579514
678	4214.934652
679	4214.611121
680	4214.134918
681	4213.42716
682	4212.942832
683	4212.630656
684	4211.947447
685	4211.709567
686	4211.214976
687	4210.778392
688	4210.393717
689	4209.437685
690	4209.105643
691	4208.082774
692	4207.627882
693	4207.353899
694	4206.486898
695	4205.94003
696	4204.72991
697	4204.072584
698	4203.199199
699	4202.742669
700	4202.430287
701	4202.268831
702	4201.063437
703	4200.736234
704	4200.157541
705	4199.720668
706	4199.373163
707	4198.793791
708	4197.983164
709	4197.194186
710	4196.397904
711	4196.125209
712	4195.573033
713	4195.26906
714	4194.743672
715	4193.714242
716	4192.650191
717	4192.224374
718	4191.775568
719	4191.484654
720	4191.194354
721	4190.927465
722	4190.692829
723	4190.492453
724	4190.25178
725	4190.025573
726	4189.2795
727	4189.09628
728	4188.803053
729	4188.369938
730	4188.064094
731	4187.367987
732	4187.003713
733	4186.588515
734	4185.935112
735	4185.625346
736	4185.143672
737	4184.668381
738	4184.492953
739	4184.282736
740	4183.762107
741	4183.061247
742	4182.315084
743	4181.579318
744	4181.292557
745	4181.09996
746	4180.908722
747	4180.238816
748	4179.680995
749	4179.360199
750	4178.419458
751	4178.123216
752	4177.664258
753	4176.933815
754	4176.360504
755	4176.134138
756	4175.76761
757	4175.512037
758	4175.233883
759	4174.990831
760	4174.355022
761	4173.890886
762	4173.624443
763	4173.156174
764	4172.535253
765	4172.101268
766	4171.633457
767	4171.035337
768	4170.344754
769	4169.583163
770	4168.884478
771	4168.612145
772	4168.370145
773	4167.920194
774	4167.318742
775	4167.07307
776	4166.159357
777	4165.576327
778	4165.185705
779	4164.518553
780	4163.884694
781	4163.406998
782	4162.9564
783	4162.414955
784	4162.178189
785	4161.806143
786	4161.379123
787	4161.05282
788	4160.857501
789	4160.513452
790	4159.940466
791	4159.21319
792	4158.830708
793	4158.442131
794	4158.18546
795	4157.882751
796	4157.638081
797	4157.247142
798	4156.932525
799	4156.181804
